wellkey,api_suffix,wellid,well_name,well_redrill,comp_flag,NEW_WELL_NAME
C111,01,C111A,C111,A,1,C111_01
D836,00,D836Z,D836,Z,1,D836_00
C432,01,C432Z,C432,Z,1,C432_01
A639,00,A639,A639,,1,A639_00
C845,02,C845B,C845,B,1,C845_02
C801,02,,,,0,C801_02
C801,03,C801B,C801,B,1,C801_03
C601,01,C601A,C601,A,1,C601_01
B808,00,,,,0,B808_00
B808,01,B808,B808,,1,B808_01
B705,01,B705A,B705,A,1,B705_01
B105,03,B105B,B105,B,1,B105_03
B801,00,B801,B801,,1,B801_00
B519,01,B519A,B519,A,1,B519_01
B838,01,B838A,B838,A,1,B838_01
B536,00,B536,B536,,1,B536_00
B740,02,B740B,B740,B,1,B740_02
B407,01,B407A,B407,A,1,B407_01
B638,01,B638A,B638,A,1,B638_01
B137,01,B137A,B137,A,1,B137_01
B114,03,B114C,B114,C,1,B114_03
B119,01,B119A,B119,A,1,B119_01
B804,00,B804,B804,,1,B804_00
B204,01,B204A,B204,A,1,B204_01
B131,01,B131A,B131,A,1,B131_01
D102,01,D102Z,D102,Z,1,D102_01
A402,01,A402A,A402,A,1,A402_01
A265,03,,,,0,A265_03
A265,04,A265B,A265,B,1,A265_04
A220,01,A220A,A220,A,1,A220_01
A558,00,A558Z,A558,Z,1,A558_00
A828,00,A828,A828,,1,A828_00
A250,00,A250,A250,,1,A250_00
A853,03,A853B,A853,B,1,A853_03
A362,01,A362A,A362,A,1,A362_01
A303,02,A303A,A303,A,1,A303_02
A302,01,A302A,A302,A,1,A302_01
A852,01,A852A,A852,A,1,A852_01
A256,01,A256A,A256,A,1,A256_01
    ,00,,,,1,    _00
    ,00,,,,1,    _00
A661,00,A661,A661,,1,A661_00
A661,01,,,0,0,A661_01
0   ,00,,,,0,0   _00
B414,00,,,,0,B414_00
A374,01,A374A,A374,A,1,A374_01
A661,02,A661A,A661,A,1,A661_02
    ,00,,,,1,    _00
B520,01,B520Z,B520,Z,1,B520_01
A818,00,,,,0,A818_00
A772,00,A772,A772,,1,A772_00
J447,01,J447A,J447,A,1,J447_01
D580,03,D580A,D580,A,1,D580_03
    ,00,,,,1,    _00
D580,02,,,,0,D580_02
D306,01,D306A,D306,A,1,D306_01
A818,01,A818,A818,,1,A818_01
A174,01,A174A,A174,A,1,A174_01
A741,00,A741,A741,,1,A741_00
A810,00,A810,A810,,1,A810_00
A111,02,A111B,A111,B,1,A111_02
A641,00,A641,A641,,1,A641_00
A814,00,A814,A814,,1,A814_00
A404,02,A404B,A404,B,1,A404_02
A766,00,A766,A766,,1,A766_00
A209,01,A209A,A209,A,1,A209_01
A301,02,A301B,A301,B,1,A301_02
A754,00,A754,A754,,1,A754_00
A804,00,A804,A804,,1,A804_00
A549,00,A549Z,A549,Z,1,A549_00
A145,01,A145A,A145,A,1,A145_01
A752,00,A752,A752,,1,A752_00
A803,00,A803,A803,,1,A803_00
A808,00,A808,A808,,1,A808_00
A361,02,A361B,A361,B,1,A361_02
A742,00,A742,A742,,1,A742_00
A774,00,A774,A774,,1,A774_00
A826,00,A826,A826,,1,A826_00
A743,00,A743,A743,,1,A743_00
A648,00,A648,A648,,1,A648_00
D316,03,D316B,D316,B,1,D316_03
D615,02,D615B,D615,B,1,D615_02
D314,02,D314B,D314,B,1,D314_02
D842,01,D842A,D842,A,1,D842_01
D824,01,D824A,D824,A,1,D824_01
A750,00,A750,A750,,1,A750_00
A820,00,A820,A820,,1,A820_00
J442,03,J442C,J442,C,1,J442_03
D433,01,D433A,D433,A,1,D433_01
D743,01,D743A,D743,A,1,D743_01
B808,01,B808Z,B808,Z,1,B808_01
A669,01,A669A,A669,A,1,A669_01
A640,01,A640A,A640,A,1,A640_01
D107,01,D107A,D107,A,1,D107_01
C440,00,C440Z,C440,Z,1,C440_00
D621,01,D621A,D621,A,1,D621_01
D450,01,D450A,D450,A,1,D450_01
B608,01,B608Z,B608,Z,1,B608_01
B530,00,B530Z,B530,Z,1,B530_00
D626,01,D626A,D626,A,1,D626_01
D708,00,D708,D708,,1,D708_00
D496,02,D496B,D496,B,1,D496_02
D424,01,D424A,D424,A,1,D424_01
A146,01,A146A,A146,A,1,A146_01
D406,02,D406B,D406,B,1,D406_02
D210,02,D210B,D210,B,1,D210_02
D303,00,D303Z,D303,Z,1,D303_00
D405,02,D405B,D405,B,1,D405_02
D839,01,D839A,D839,A,1,D839_01
D594,05,D594B,D594,B,1,D594_05
C355,01,C355Y,C355,Y,1,C355_01
D573,01,D573A,D573,,1,D573_01
D535,01,D535A,D535,A,1,D535_01
A152,01,A152A,A152,A,1,A152_01
A635,00,A635,A635,,1,A635_00
C444,01,C444,C444,,1,C444_01
A706,01,A706A,A706,A,1,A706_01
A358,01,A358A,A358,A,1,A358_01
A404,01,A404A,A404,A,1,A404_01
D748,00,D748,D748,,1,D748_00
D407,01,D407A,D407,A,1,D407_01
D821,00,D821,D821,,1,D821_00
D111,01,D111A,D111,A,1,D111_01
D523,01,D523A,D523,A,1,D523_01
D611,02,D611A,D611,A,1,D611_02
D628,02,D628B,D628,B,1,D628_02
D582,02,D582A,D582,A,1,D582_02
D115,01,D115A,D115,A,1,D115_01
D737,00,D737,D737,,1,D737_00
J462,01,J462A,J462,A,1,J462_01
D804,00,,,,0,D804_00
D804,01,D804,D804,,1,D804_01
J342,00,J342,J342,,1,J342_00
B518,00,,,,0,B518_00
B518,01,B518,B518,,1,B518_01
J341,01,J341A,J341,A,1,J341_01
B206,03,B206,B206,,1,B206_03
B605,00,B605,B605,,1,B605_00
B438,01,B438A,B438,A,1,B438_01
B721,00,B721,B721,,1,B721_00
C767,00,C767,C767,,1,C767_00
C823,00,C823,C823,,1,C823_00
C712,01,C712A,C712,A,1,C712_01
C458,00,C458,C458,,1,C458_00
C768,01,C768A,C768,A,1,C768_01
C669,01,C669A,C669,A,1,C669_01
A101,00,A101,A101,,1,A101_00
A101,01,A101A,A101,A,1,A101_01
A101,02,A101B,A101,B,1,A101_02
A102,00,A102,A102,,1,A102_00
A103,00,A103,A103,,1,A103_00
A104,00,A104,A104,,1,A104_00
A105,00,A105,A105,,1,A105_00
A106,00,A106,A106,,1,A106_00
A107,00,A107,A107,,1,A107_00
A108,00,A108,A108,,1,A108_00
A108,02,A108A,A108,A,1,A108_02
A109,00,A109,A109,,1,A109_00
A110,00,A110,A110,,1,A110_00
A110,01,A110A,A110,A,1,A110_01
A111,01,A111A,A111,A,1,A111_01
A111,00,A111,A111,,1,A111_00
A112,00,A112,A112,,1,A112_00
A113,00,A113,A113,,1,A113_00
A114,00,A114,A114,,1,A114_00
A114,01,A114A,A114,A,1,A114_01
A115,02,A115A,A115,A,1,A115_02
A115,00,A115,A115,,1,A115_00
A116,00,A116,A116,,1,A116_00
A117,00,A117,A117,,1,A117_00
A118,00,A118,A118,,1,A118_00
A119,00,A119,A119,,1,A119_00
A120,00,A120,A120,,1,A120_00
A121,00,A121,A121,,1,A121_00
A121,01,A121A,A121,A,1,A121_01
A123,00,A123,A123,,1,A123_00
A123,01,A123A,A123,A,1,A123_01
A124,00,A124,A124,,1,A124_00
A125,00,A125,A125,,1,A125_00
A126,00,A126,A126,,1,A126_00
A126,01,A126A,A126,A,1,A126_01
A126,02,A126B,A126,B,1,A126_02
A127,00,A127,A127,,1,A127_00
