well_name,crb_desc,cut_bk,new_pool_desc,well_redrill,REDRILL_WELL_NAME
B833,10               ,10,R07N             , ,B833 
B834,9                ,9,R07N             , ,B834 
B834,9                ,9,R07N             ,A,B834A
B835,10               ,10,R07N             , ,B835 
B836,8-9              ,8,R07N-R07S        , ,B836 
B836,8-9              ,9,R07N-R07S        , ,B836 
B837,9                ,9,R07N             , ,B837 
B838,9                ,9,R07N             , ,B838 
B839,9                ,9,R07N             , ,B839 
B839,9                ,9,R07N             , ,B839 
C101,17               ,17,R90N             , ,C101 
C103,18               ,18,R90N             , ,C103 
C103,18               ,18,R90N             ,A,C103A
C104,17               ,17,R90N             , ,C104 
C105,17               ,17,R90N             , ,C105 
C108,18               ,18,R90N             , ,C108 
C109,18               ,18,R90N             , ,C109 
C110,18               ,18,R90N             , ,C110 
C111,18               ,18,R90N             , ,C111 
C113,18               ,18,R90N             , ,C113 
C113,18               ,18,R90N             , ,C113 
C113,18               ,18,R90N             ,A,C113A
C114,18               ,18,R90N             , ,C114 
C115,17               ,17,R90N             , ,C115 
C116,18               ,18,R90N             , ,C116 
C117,33               ,33,R90N             , ,C117 
C117,33               ,33,R90N             , ,C117 
C117,33               ,33,R90N             , ,C117 
C125,18               ,18,R90N             , ,C125 
C126,44               ,44,UF90             , ,C126 
C126,44               ,44,UF90             , ,C126 
C126,17-32            ,17,R90N             ,Z,C126Z
C126,17-32            ,32,R90N             ,Z,C126Z
C127,17-32            ,17,R90N             , ,C127 
C127,17-32            ,32,R90N             , ,C127 
C127,17-32            ,17,R90N             ,A,C127A
C127,17-32            ,32,R90N             ,A,C127A
C128,17               ,17,R90N             , ,C128 
C129,18               ,18,R90N             , ,C129 
C129,18               ,18,R90N             ,A,C129A
C129,18               ,18,R90N             ,B,C129B
C130,44               ,44,UF90             , ,C130 
C131,18               ,18,R90N             , ,C131 
C132,18               ,18,R90N             , ,C132 
C132,18               ,18,R90N             , ,C132 
C132,18               ,18,R90N             ,A,C132A
C133,18               ,18,R90N             , ,C133 
C133,18               ,18,R90N             , ,C133 
C133,18               ,18,R90N             ,A,C133A
C134,18               ,18,R90N             , ,C134 
C135,17-32            ,17,R90N             , ,C135 
C135,17-32            ,32,R90N             , ,C135 
C136,18               ,18,R90N             , ,C136 
C136,18               ,18,R90N             ,A,C136A
C137,18               ,18,R90N             , ,C137 
C138,18               ,18,R90N             , ,C138 
C139,32               ,32,R90N             , ,C139 
C140,32               ,32,R90N             , ,C140 
C140,32               ,32,R90N             ,A,C140A
C141,18               ,18,R90N             , ,C141 
C141,18               ,18,R90N             ,A,C141A
C143,17               ,17,R90N             , ,C143 
C145,18               ,18,R90N             , ,C145 
C146,18               ,18,R90N             , ,C146 
C201,44               ,44,UF90             , ,C201 
C202,44               ,44,UF90             , ,C202 
C203,18               ,18,R90N             , ,C203 
C204,18               ,18,R90N             , ,C204 
C205,18               ,18,R90N             , ,C205 
C143,17               ,17,R90N             , ,C143 
C205,18               ,18,R90N             ,A,C205A
C207,18               ,18,R90N             , ,C207 
C208,18               ,18,R90N             , ,C208 
C208,18               ,18,R90N             ,A,C208A
C209,18               ,18,R90N             , ,C209 
C210,43               ,43,TE90S            , ,C210 
C211,33               ,33,R90N             , ,C211 
C207,18               ,18,R90N             , ,C207 
C212,22               ,22,R90S             , ,C212 
C213,33               ,33,R90N             , ,C213 
C212,22               ,22,R90S             , ,C212 
C210,43               ,43,TE90S            , ,C210 
C213,33               ,33,R90N             , ,C213 
C213,22               ,22,R90S             ,A,C213A
C213,33               ,33,R90N             ,B,C213B
C214,18               ,18,R90N             , ,C214 
C214,18               ,18,R90N             , ,C214 
C214,18               ,18,R90N             ,A,C214A
C216,18               ,18,R90N             , ,C216 
C218,18               ,18,R90N             , ,C218 
C219,18               ,18,R90N             , ,C219 
C219,18               ,18,R90N             ,A,C219A
C220,18               ,18,R90N             , ,C220 
C222,18               ,18,R90N             , ,C222 
C223,18               ,18,R90N             , ,C223 
C224,32               ,32,R90N             , ,C224 
C225,18               ,18,R90N             , ,C225 
C227,18               ,18,R90N             , ,C227 
C229,18               ,18,R90N             , ,C229 
C231,18               ,18,R90N             , ,C231 
C233,18               ,18,R90N             , ,C233 
C235,18               ,18,R90N             , ,C235 
C239,44               ,44,UF90             , ,C239 
C241,18               ,18,R90N             , ,C241 
C242,18               ,18,R90N             , ,C242 
C245,18               ,18,R90N             , ,C245 
C246,18               ,18,R90N             , ,C246 
C302,18               ,18,R90N             , ,C302 
C303,18               ,18,R90N             , ,C303 
C310,18               ,18,R90N             , ,C310 
C311,18               ,18,R90N             , ,C311 
C312,18               ,18,R90N             , ,C312 
C312,18               ,18,R90N             ,A,C312A
C312,18               ,18,R90N             ,B,C312B
C313,18               ,18,R90N             , ,C313 
C313,18               ,18,R90N             , ,C313 
C313,18               ,18,R90N             ,A,C313A
C314,20               ,20,R90N             , ,C314 
C315,20               ,20,R90N             , ,C315 
C315,20               ,20,R90N             ,A,C315A
C316,20               ,20,R90N             , ,C316 
C316,20               ,20,R90N             ,A,C316A
C317,30               ,30,37               , ,C317 
C317,45               ,45,UF90             , ,C317 
C317,45               ,45,UF90             ,Z,C317Z
C318,44               ,44,UF90             , ,C318 
C318,44               ,44,UF90             ,A,C318A
C319,20               ,20,R90N             , ,C319 
C320,18               ,18,R90N             , ,C320 
C321,45               ,45,UF90             , ,C321 
C319,20               ,20,R90N             , ,C319 
C321,45               ,45,UF90             ,A,C321A
C321,45               ,45,UF90             ,B,C321B
C322,33               ,33,R90N             , ,C322 
C324,18               ,18,R90N             , ,C324 
C324,18               ,18,R90N             ,A,C324A
C324,18               ,18,R90N             ,B,C324B
C322,33               ,33,R90N             , ,C322 
C325,21               ,21,R90S             , ,C325 
C326,44               ,44,UF90             , ,C326 
C327,20               ,20,R90N             , ,C327 
C328,20               ,20,R90N             , ,C328 
C330,20               ,20,R90N             , ,C330 
C329,33               ,33,R90N             , ,C329 
C329,33               ,33,R90N             , ,C329 
C329,33               ,33,R90N             ,A,C329A
C330,20               ,20,R90N             , ,C330 
C329,33               ,33,R90N             ,A,C329A
C331,20               ,20,R90N             , ,C331 
C336,45               ,45,UF90             , ,C336 
C332,20               ,20,R90N             , ,C332 
C333,20               ,20,R90N             , ,C333 
C335,46               ,46,UF90             , ,C335 
C336,45               ,45,UF90             , ,C336 
C337,20-33            ,20,R90N             , ,C337 
C337,20-33            ,33,R90N             , ,C337 
C337,20-33            ,20,R90N             ,A,C337A
C332,20               ,20,R90N             , ,C332 
C337,20-33            ,33,R90N             ,A,C337A
C338,20               ,20,R90N             , ,C338 
C338,20               ,20,R90N             ,A,C338A
C338,20               ,20,R90N             ,A,C338A
C339,44               ,44,UF90             , ,C339 
C340,20               ,20,R90N             , ,C340 
J160,38               ,38,UT06W            ,A,J160A
J163,3-4              ,3,R6N-R6S          , ,J163 
J163,3-4              ,4,R6N-R6S          , ,J163 
J163,3-4              ,3,R6N-R6S          ,A,J163A
J163,3-4              ,4,R6N-R6S          ,A,J163A
J163,3-4              ,3,R6N-R6S          ,B,J163B
J163,3-4              ,4,R6N-R6S          ,B,J163B
J165,38               ,38,UT06W            , ,J165 
J165,38               ,38,UT06W            , ,J165 
